TIMESTAMP,GROUP,TYPE,VALUE
1967-03-01T00:00:00.Z,Quebec,Trucks,10253
1967-04-01T00:00:00.Z,Quebec,Trucks,10378
1967-05-01T00:00:00.Z,Quebec,Trucks,12186
1967-06-01T00:00:00.Z,Quebec,Trucks,11346
1967-07-01T00:00:00.Z,Quebec,Trucks,7812
1967-08-01T00:00:00.Z,Quebec,Trucks,8290
1967-09-01T00:00:00.Z,Quebec,Trucks,7764
1967-10-01T00:00:00.Z,Quebec,Trucks,8952
1967-11-01T00:00:00.Z,Quebec,Trucks,8306
1967-12-01T00:00:00.Z,Quebec,Trucks,7999
1968-01-01T00:00:00.Z,Quebec,Trucks,6691
1968-02-01T00:00:00.Z,Quebec,Trucks,7058
1968-03-01T00:00:00.Z,Quebec,Trucks,8630
1968-04-01T00:00:00.Z,Quebec,Trucks,7678
1968-05-01T00:00:00.Z,Quebec,Trucks,11670
1968-06-01T00:00:00.Z,Quebec,Trucks,10074
1968-07-01T00:00:00.Z,Quebec,Trucks,9417
1968-08-01T00:00:00.Z,Quebec,Trucks,8893
1968-09-01T00:00:00.Z,Quebec,Trucks,8817
1968-10-01T00:00:00.Z,Quebec,Trucks,11628
1968-11-01T00:00:00.Z,Quebec,Trucks,8817
1968-12-01T00:00:00.Z,Quebec,Trucks,8346
1969-01-01T00:00:00.Z,Quebec,Trucks,8213
1969-02-01T00:00:00.Z,Quebec,Trucks,8307
1969-03-01T00:00:00.Z,Quebec,Trucks,10607
1969-04-01T00:00:00.Z,Quebec,Trucks,11535
1969-05-01T00:00:00.Z,Quebec,Trucks,11056
1969-06-01T00:00:00.Z,Quebec,Trucks,11323
1969-07-01T00:00:00.Z,Quebec,Trucks,9880
1969-08-01T00:00:00.Z,Quebec,Trucks,7165
1969-09-01T00:00:00.Z,Quebec,Trucks,10085
1969-10-01T00:00:00.Z,Quebec,Trucks,9324
1969-11-01T00:00:00.Z,Quebec,Trucks,8804
1969-12-01T00:00:00.Z,Quebec,Trucks,8248
1970-01-01T00:00:00.Z,Quebec,Trucks,7961
1970-02-01T00:00:00.Z,Quebec,Trucks,8347
1970-03-01T00:00:00.Z,Quebec,Trucks,11531
1970-04-01T00:00:00.Z,Quebec,Trucks,12506
1970-05-01T00:00:00.Z,Quebec,Trucks,11979
1970-06-01T00:00:00.Z,Quebec,Trucks,12567
1970-07-01T00:00:00.Z,Quebec,Trucks,9540
1970-08-01T00:00:00.Z,Quebec,Trucks,7805
1970-09-01T00:00:00.Z,Quebec,Trucks,9223
1970-10-01T00:00:00.Z,Quebec,Trucks,10044
1970-11-01T00:00:00.Z,Quebec,Trucks,7779
1970-12-01T00:00:00.Z,Quebec,Trucks,6817
1971-01-01T00:00:00.Z,Quebec,Trucks,6776
1971-02-01T00:00:00.Z,Quebec,Trucks,7557
1971-03-01T00:00:00.Z,Quebec,Trucks,13434
1971-04-01T00:00:00.Z,Quebec,Trucks,14595
1971-05-01T00:00:00.Z,Quebec,Trucks,14898
1971-06-01T00:00:00.Z,Quebec,Trucks,14707
1971-07-01T00:00:00.Z,Quebec,Trucks,11706
1971-08-01T00:00:00.Z,Quebec,Trucks,10555
1971-09-01T00:00:00.Z,Quebec,Trucks,12874
1971-10-01T00:00:00.Z,Quebec,Trucks,14940
1971-11-01T00:00:00.Z,Quebec,Trucks,14480
1971-12-01T00:00:00.Z,Quebec,Trucks,13890
1972-01-01T00:00:00.Z,Quebec,Trucks,12460
1972-02-01T00:00:00.Z,Quebec,Trucks,12883
1972-03-01T00:00:00.Z,Quebec,Trucks,16255
1972-04-01T00:00:00.Z,Quebec,Trucks,17302
1972-05-01T00:00:00.Z,Quebec,Trucks,24901
1972-06-01T00:00:00.Z,Quebec,Trucks,22149
1972-07-01T00:00:00.Z,Quebec,Trucks,15496
1972-08-01T00:00:00.Z,Quebec,Trucks,17692
1972-09-01T00:00:00.Z,Quebec,Trucks,15792
1972-10-01T00:00:00.Z,Quebec,Trucks,20054
1972-11-01T00:00:00.Z,Quebec,Trucks,21129
1972-12-01T00:00:00.Z,Quebec,Trucks,16499
1973-01-01T00:00:00.Z,Quebec,Trucks,21134
1973-02-01T00:00:00.Z,Quebec,Trucks,21007
1973-03-01T00:00:00.Z,Quebec,Trucks,28469
1973-04-01T00:00:00.Z,Quebec,Trucks,23982
1973-05-01T00:00:00.Z,Quebec,Trucks,28865
1973-06-01T00:00:00.Z,Quebec,Trucks,25927
1973-07-01T00:00:00.Z,Quebec,Trucks,18305
1973-08-01T00:00:00.Z,Quebec,Trucks,23413
1973-09-01T00:00:00.Z,Quebec,Trucks,19856
1973-10-01T00:00:00.Z,Quebec,Trucks,28698
1973-11-01T00:00:00.Z,Quebec,Trucks,27183
1973-12-01T00:00:00.Z,Quebec,Trucks,18850
1974-01-01T00:00:00.Z,Quebec,Trucks,26254
1974-02-01T00:00:00.Z,Quebec,Trucks,29595
1974-03-01T00:00:00.Z,Quebec,Trucks,29366
1974-04-01T00:00:00.Z,Quebec,Trucks,31728
1974-05-01T00:00:00.Z,Quebec,Trucks,36699
1974-06-01T00:00:00.Z,Quebec,Trucks,29928
1974-07-01T00:00:00.Z,Quebec,Trucks,30029
1974-08-01T00:00:00.Z,Quebec,Trucks,31625
1974-09-01T00:00:00.Z,Quebec,Trucks,27922
1974-10-01T00:00:00.Z,Quebec,Trucks,30804
1974-11-01T00:00:00.Z,Quebec,Trucks,22372
1974-12-01T00:00:00.Z,Quebec,Trucks,23476
1975-01-01T00:00:00.Z,Quebec,Trucks,22548
1975-02-01T00:00:00.Z,Quebec,Trucks,25371
1975-03-01T00:00:00.Z,Quebec,Trucks,29261
1975-04-01T00:00:00.Z,Quebec,Trucks,40783
1975-05-01T00:00:00.Z,Quebec,Trucks,41485
1975-06-01T00:00:00.Z,Quebec,Trucks,39537
1975-07-01T00:00:00.Z,Quebec,Trucks,36514
1975-08-01T00:00:00.Z,Quebec,Trucks,34303
1975-09-01T00:00:00.Z,Quebec,Trucks,33194
1975-10-01T00:00:00.Z,Quebec,Trucks,36995
1975-11-01T00:00:00.Z,Quebec,Trucks,31745
1975-12-01T00:00:00.Z,Quebec,Trucks,28484
1976-01-01T00:00:00.Z,Quebec,Trucks,25015
1976-02-01T00:00:00.Z,Quebec,Trucks,30898
1976-03-01T00:00:00.Z,Quebec,Trucks,41970
1976-04-01T00:00:00.Z,Quebec,Trucks,45967
1976-05-01T00:00:00.Z,Quebec,Trucks,47237
1976-06-01T00:00:00.Z,Quebec,Trucks,50590
1976-07-01T00:00:00.Z,Quebec,Trucks,36027
1976-08-01T00:00:00.Z,Quebec,Trucks,38315
1976-09-01T00:00:00.Z,Quebec,Trucks,29370
1976-10-01T00:00:00.Z,Quebec,Trucks,47219
1976-11-01T00:00:00.Z,Quebec,Trucks,35311
1976-12-01T00:00:00.Z,Quebec,Trucks,29875
1977-01-01T00:00:00.Z,Quebec,Trucks,33333
1977-02-01T00:00:00.Z,Quebec,Trucks,31942
1977-03-01T00:00:00.Z,Quebec,Trucks,46137
1977-04-01T00:00:00.Z,Quebec,Trucks,43157
1977-05-01T00:00:00.Z,Quebec,Trucks,49896
1977-06-01T00:00:00.Z,Quebec,Trucks,48053
1977-07-01T00:00:00.Z,Quebec,Trucks,40320
1977-08-01T00:00:00.Z,Quebec,Trucks,42495
1977-09-01T00:00:00.Z,Quebec,Trucks,33477
1977-10-01T00:00:00.Z,Quebec,Trucks,49206
1977-11-01T00:00:00.Z,Quebec,Trucks,37753
1977-12-01T00:00:00.Z,Quebec,Trucks,32840
1978-01-01T00:00:00.Z,Quebec,Trucks,31399
1978-02-01T00:00:00.Z,Quebec,Trucks,37121
1978-03-01T00:00:00.Z,Quebec,Trucks,49280
1978-04-01T00:00:00.Z,Quebec,Trucks,50141
1978-05-01T00:00:00.Z,Quebec,Trucks,58365
1978-06-01T00:00:00.Z,Quebec,Trucks,56431
1978-07-01T00:00:00.Z,Quebec,Trucks,49062
1978-08-01T00:00:00.Z,Quebec,Trucks,45235
1978-09-01T00:00:00.Z,Quebec,Trucks,42384
1978-10-01T00:00:00.Z,Quebec,Trucks,51600
1978-11-01T00:00:00.Z,Quebec,Trucks,48708
1978-12-01T00:00:00.Z,Quebec,Trucks,40179
1979-01-01T00:00:00.Z,Quebec,Trucks,42931
1979-02-01T00:00:00.Z,Quebec,Trucks,51297
1979-03-01T00:00:00.Z,Quebec,Trucks,68882
1979-04-01T00:00:00.Z,Quebec,Trucks,64031
1979-05-01T00:00:00.Z,Quebec,Trucks,75968
1979-06-01T00:00:00.Z,Quebec,Trucks,71910
1979-07-01T00:00:00.Z,Quebec,Trucks,68900
1979-08-01T00:00:00.Z,Quebec,Trucks,58176
1979-09-01T00:00:00.Z,Quebec,Trucks,61452
1979-10-01T00:00:00.Z,Quebec,Trucks,79290
1979-11-01T00:00:00.Z,Quebec,Trucks,56001
1979-12-01T00:00:00.Z,Quebec,Trucks,41374
1980-01-01T00:00:00.Z,Quebec,Trucks,46170
1980-02-01T00:00:00.Z,Quebec,Trucks,41732
1980-03-01T00:00:00.Z,Quebec,Trucks,51734
1980-04-01T00:00:00.Z,Quebec,Trucks,59999
1980-05-01T00:00:00.Z,Quebec,Trucks,52408
1980-06-01T00:00:00.Z,Quebec,Trucks,61409
1980-07-01T00:00:00.Z,Quebec,Trucks,56338
1980-08-01T00:00:00.Z,Quebec,Trucks,51352
1980-09-01T00:00:00.Z,Quebec,Trucks,47360
1980-10-01T00:00:00.Z,Quebec,Trucks,64559
1980-11-01T00:00:00.Z,Quebec,Trucks,36606
1980-12-01T00:00:00.Z,Quebec,Trucks,31694
1981-01-01T00:00:00.Z,Quebec,Trucks,40711
1981-02-01T00:00:00.Z,Quebec,Trucks,36721
1981-03-01T00:00:00.Z,Quebec,Trucks,54445
1981-04-01T00:00:00.Z,Quebec,Trucks,56103
1981-05-01T00:00:00.Z,Quebec,Trucks,50401
1981-06-01T00:00:00.Z,Quebec,Trucks,54250
1981-07-01T00:00:00.Z,Quebec,Trucks,42707
1981-08-01T00:00:00.Z,Quebec,Trucks,35325
1981-09-01T00:00:00.Z,Quebec,Trucks,38089
1981-10-01T00:00:00.Z,Quebec,Trucks,35508
1981-11-01T00:00:00.Z,Quebec,Trucks,44610
1981-12-01T00:00:00.Z,Quebec,Trucks,26944
1982-01-01T00:00:00.Z,Quebec,Trucks,27557
1982-02-01T00:00:00.Z,Quebec,Trucks,28673
1982-03-01T00:00:00.Z,Quebec,Trucks,48220
1982-04-01T00:00:00.Z,Quebec,Trucks,35540
1982-05-01T00:00:00.Z,Quebec,Trucks,41150
1982-06-01T00:00:00.Z,Quebec,Trucks,40929
1982-07-01T00:00:00.Z,Quebec,Trucks,30796
1982-08-01T00:00:00.Z,Quebec,Trucks,25688
1982-09-01T00:00:00.Z,Quebec,Trucks,29560
1982-10-01T00:00:00.Z,Quebec,Trucks,30033
1982-11-01T00:00:00.Z,Quebec,Trucks,30384
1982-12-01T00:00:00.Z,Quebec,Trucks,30087
1983-01-01T00:00:00.Z,Quebec,Trucks,21580
1983-02-01T00:00:00.Z,Quebec,Trucks,22898
1983-03-01T00:00:00.Z,Quebec,Trucks,42476
1983-04-01T00:00:00.Z,Quebec,Trucks,51122
1983-05-01T00:00:00.Z,Quebec,Trucks,48290
1983-06-01T00:00:00.Z,Quebec,Trucks,56589
1983-07-01T00:00:00.Z,Quebec,Trucks,40606
1983-08-01T00:00:00.Z,Quebec,Trucks,45495
1983-09-01T00:00:00.Z,Quebec,Trucks,47528
1983-10-01T00:00:00.Z,Quebec,Trucks,52850
1983-11-01T00:00:00.Z,Quebec,Trucks,51241
1983-12-01T00:00:00.Z,Quebec,Trucks,42931
1984-01-01T00:00:00.Z,Quebec,Trucks,57226
1984-02-01T00:00:00.Z,Quebec,Trucks,60262
1984-03-01T00:00:00.Z,Quebec,Trucks,83932
1984-04-01T00:00:00.Z,Quebec,Trucks,76543
1984-05-01T00:00:00.Z,Quebec,Trucks,94269
1984-06-01T00:00:00.Z,Quebec,Trucks,92736
1984-07-01T00:00:00.Z,Quebec,Trucks,71985
1984-08-01T00:00:00.Z,Quebec,Trucks,69125
1984-09-01T00:00:00.Z,Quebec,Trucks,57069
1984-10-01T00:00:00.Z,Quebec,Trucks,91302
1984-11-01T00:00:00.Z,Quebec,Trucks,67468
1984-12-01T00:00:00.Z,Quebec,Trucks,68201
1985-01-01T00:00:00.Z,Quebec,Trucks,70808
1985-02-01T00:00:00.Z,Quebec,Trucks,69144
1985-03-01T00:00:00.Z,Quebec,Trucks,91270
1985-04-01T00:00:00.Z,Quebec,Trucks,113646
1985-05-01T00:00:00.Z,Quebec,Trucks,118903
1985-06-01T00:00:00.Z,Quebec,Trucks,118635
1985-07-01T00:00:00.Z,Quebec,Trucks,105934
1985-08-01T00:00:00.Z,Quebec,Trucks,100878
1985-09-01T00:00:00.Z,Quebec,Trucks,102722
1985-10-01T00:00:00.Z,Quebec,Trucks,113301
1985-11-01T00:00:00.Z,Quebec,Trucks,99606
1985-12-01T00:00:00.Z,Quebec,Trucks,89287
1986-01-01T00:00:00.Z,Quebec,Trucks,88817
1986-02-01T00:00:00.Z,Quebec,Trucks,97142
1986-03-01T00:00:00.Z,Quebec,Trucks,110414
1986-04-01T00:00:00.Z,Quebec,Trucks,145356
1986-05-01T00:00:00.Z,Quebec,Trucks,143163
1986-06-01T00:00:00.Z,Quebec,Trucks,137332
1986-07-01T00:00:00.Z,Quebec,Trucks,132724
1986-08-01T00:00:00.Z,Quebec,Trucks,112103
1986-09-01T00:00:00.Z,Quebec,Trucks,117736
1986-10-01T00:00:00.Z,Quebec,Trucks,127071
1986-11-01T00:00:00.Z,Quebec,Trucks,107252
1986-12-01T00:00:00.Z,Quebec,Trucks,105735
1987-01-01T00:00:00.Z,Quebec,Trucks,99520
1987-02-01T00:00:00.Z,Quebec,Trucks,115017
1987-03-01T00:00:00.Z,Quebec,Trucks,159280
1987-04-01T00:00:00.Z,Quebec,Trucks,188287
1987-05-01T00:00:00.Z,Quebec,Trucks,178427
1987-06-01T00:00:00.Z,Quebec,Trucks,194360
1987-07-01T00:00:00.Z,Quebec,Trucks,150119
1987-08-01T00:00:00.Z,Quebec,Trucks,177680
1987-09-01T00:00:00.Z,Quebec,Trucks,128466
1987-10-01T00:00:00.Z,Quebec,Trucks,179457
1987-11-01T00:00:00.Z,Quebec,Trucks,150436
1987-12-01T00:00:00.Z,Quebec,Trucks,131254
1988-01-01T00:00:00.Z,Quebec,Trucks,121234
1988-02-01T00:00:00.Z,Quebec,Trucks,136615
1988-03-01T00:00:00.Z,Quebec,Trucks,210571
1988-04-01T00:00:00.Z,Quebec,Trucks,211350
1988-05-01T00:00:00.Z,Quebec,Trucks,237288
1988-06-01T00:00:00.Z,Quebec,Trucks,196244
1988-07-01T00:00:00.Z,Quebec,Trucks,177789
1988-08-01T00:00:00.Z,Quebec,Trucks,171854
1988-09-01T00:00:00.Z,Quebec,Trucks,152809
1988-10-01T00:00:00.Z,Quebec,Trucks,171055
1988-11-01T00:00:00.Z,Quebec,Trucks,158867
1988-12-01T00:00:00.Z,Quebec,Trucks,149084
1989-01-01T00:00:00.Z,Quebec,Trucks,129885
1989-02-01T00:00:00.Z,Quebec,Trucks,136217
1989-03-01T00:00:00.Z,Quebec,Trucks,177706
1989-04-01T00:00:00.Z,Quebec,Trucks,220329
1989-05-01T00:00:00.Z,Quebec,Trucks,231286
1989-06-01T00:00:00.Z,Quebec,Trucks,200794
1989-07-01T00:00:00.Z,Quebec,Trucks,161917
1989-08-01T00:00:00.Z,Quebec,Trucks,158412
1989-09-01T00:00:00.Z,Quebec,Trucks,163785
1989-10-01T00:00:00.Z,Quebec,Trucks,188572
1989-11-01T00:00:00.Z,Quebec,Trucks,155039
1989-12-01T00:00:00.Z,Quebec,Trucks,113051
1990-01-01T00:00:00.Z,Quebec,Trucks,142179
1990-02-01T00:00:00.Z,Quebec,Trucks,121999
1990-03-01T00:00:00.Z,Quebec,Trucks,183283
1990-04-01T00:00:00.Z,Quebec,Trucks,173569
1990-05-01T00:00:00.Z,Quebec,Trucks,198453
1990-06-01T00:00:00.Z,Quebec,Trucks,176800
1990-07-01T00:00:00.Z,Quebec,Trucks,158784
1990-08-01T00:00:00.Z,Quebec,Trucks,146442
1990-09-01T00:00:00.Z,Quebec,Trucks,124633
1990-10-01T00:00:00.Z,Quebec,Trucks,132137
1990-11-01T00:00:00.Z,Quebec,Trucks,125527
1990-12-01T00:00:00.Z,Quebec,Trucks,109180
1991-01-01T00:00:00.Z,Quebec,Trucks,78753
1991-02-01T00:00:00.Z,Quebec,Trucks,89076
1991-03-01T00:00:00.Z,Quebec,Trucks,132495
1991-04-01T00:00:00.Z,Quebec,Trucks,185557
1991-05-01T00:00:00.Z,Quebec,Trucks,195198
1991-06-01T00:00:00.Z,Quebec,Trucks,170470
1991-07-01T00:00:00.Z,Quebec,Trucks,165350
1991-08-01T00:00:00.Z,Quebec,Trucks,127791
1991-09-01T00:00:00.Z,Quebec,Trucks,141126
1991-10-01T00:00:00.Z,Quebec,Trucks,131304
1991-11-01T00:00:00.Z,Quebec,Trucks,127088
1991-12-01T00:00:00.Z,Quebec,Trucks,104254
1992-01-01T00:00:00.Z,Quebec,Trucks,109253
1992-02-01T00:00:00.Z,Quebec,Trucks,117594
1992-03-01T00:00:00.Z,Quebec,Trucks,179552
1992-04-01T00:00:00.Z,Quebec,Trucks,182944
1992-05-01T00:00:00.Z,Quebec,Trucks,203695
1992-06-01T00:00:00.Z,Quebec,Trucks,200145
1992-07-01T00:00:00.Z,Quebec,Trucks,172097
1992-08-01T00:00:00.Z,Quebec,Trucks,161669
1992-09-01T00:00:00.Z,Quebec,Trucks,149766
1992-10-01T00:00:00.Z,Quebec,Trucks,148395
1992-11-01T00:00:00.Z,Quebec,Trucks,148456
1992-12-01T00:00:00.Z,Quebec,Trucks,127738
1993-01-01T00:00:00.Z,Quebec,Trucks,111228
1993-02-01T00:00:00.Z,Quebec,Trucks,113687
1993-03-01T00:00:00.Z,Quebec,Trucks,195727
1993-04-01T00:00:00.Z,Quebec,Trucks,213252
1993-05-01T00:00:00.Z,Quebec,Trucks,234324
1993-06-01T00:00:00.Z,Quebec,Trucks,217290
1993-07-01T00:00:00.Z,Quebec,Trucks,204681
1993-08-01T00:00:00.Z,Quebec,Trucks,166360
1993-09-01T00:00:00.Z,Quebec,Trucks,172684
1993-10-01T00:00:00.Z,Quebec,Trucks,178504
1993-11-01T00:00:00.Z,Quebec,Trucks,202623
1993-12-01T00:00:00.Z,Quebec,Trucks,182168
1994-01-01T00:00:00.Z,Quebec,Trucks,146341
1994-02-01T00:00:00.Z,Quebec,Trucks,164869
1994-03-01T00:00:00.Z,Quebec,Trucks,252290
1994-04-01T00:00:00.Z,Quebec,Trucks,268073
1994-05-01T00:00:00.Z,Quebec,Trucks,288421
1994-06-01T00:00:00.Z,Quebec,Trucks,281069
1994-07-01T00:00:00.Z,Quebec,Trucks,218732
1994-08-01T00:00:00.Z,Quebec,Trucks,196237
1994-09-01T00:00:00.Z,Quebec,Trucks,221552
1994-10-01T00:00:00.Z,Quebec,Trucks,226414
1994-11-01T00:00:00.Z,Quebec,Trucks,219819
1994-12-01T00:00:00.Z,Quebec,Trucks,188976
1995-01-01T00:00:00.Z,Quebec,Trucks,159531
1995-02-01T00:00:00.Z,Quebec,Trucks,169689
1995-03-01T00:00:00.Z,Quebec,Trucks,259657
1995-04-01T00:00:00.Z,Quebec,Trucks,254605
1995-05-01T00:00:00.Z,Quebec,Trucks,299138
1995-06-01T00:00:00.Z,Quebec,Trucks,255654
1995-07-01T00:00:00.Z,Quebec,Trucks,198133
1995-08-01T00:00:00.Z,Quebec,Trucks,231409
1995-09-01T00:00:00.Z,Quebec,Trucks,249957
1995-10-01T00:00:00.Z,Quebec,Trucks,226315
1995-11-01T00:00:00.Z,Quebec,Trucks,221582
1995-12-01T00:00:00.Z,Quebec,Trucks,196879
1996-01-01T00:00:00.Z,Quebec,Trucks,191149
1996-02-01T00:00:00.Z,Quebec,Trucks,205925
1996-03-01T00:00:00.Z,Quebec,Trucks,301461
1996-04-01T00:00:00.Z,Quebec,Trucks,303128
1996-05-01T00:00:00.Z,Quebec,Trucks,333712
1996-06-01T00:00:00.Z,Quebec,Trucks,292434
1996-07-01T00:00:00.Z,Quebec,Trucks,260582
1996-08-01T00:00:00.Z,Quebec,Trucks,248627
1996-09-01T00:00:00.Z,Quebec,Trucks,255087
1996-10-01T00:00:00.Z,Quebec,Trucks,275081
1996-11-01T00:00:00.Z,Quebec,Trucks,263882
1996-12-01T00:00:00.Z,Quebec,Trucks,272738
1997-01-01T00:00:00.Z,Quebec,Trucks,214106
1997-02-01T00:00:00.Z,Quebec,Trucks,247991
1997-03-01T00:00:00.Z,Quebec,Trucks,342959
1997-04-01T00:00:00.Z,Quebec,Trucks,389147
1997-05-01T00:00:00.Z,Quebec,Trucks,401927
1997-06-01T00:00:00.Z,Quebec,Trucks,364912
1997-07-01T00:00:00.Z,Quebec,Trucks,382600
1997-08-01T00:00:00.Z,Quebec,Trucks,301196
1997-09-01T00:00:00.Z,Quebec,Trucks,349999
1997-10-01T00:00:00.Z,Quebec,Trucks,365136
1997-11-01T00:00:00.Z,Quebec,Trucks,364069
1997-12-01T00:00:00.Z,Quebec,Trucks,444433
1998-01-01T00:00:00.Z,Quebec,Trucks,197532
1998-02-01T00:00:00.Z,Quebec,Trucks,283787
1998-03-01T00:00:00.Z,Quebec,Trucks,423885
1998-04-01T00:00:00.Z,Quebec,Trucks,454568
1998-05-01T00:00:00.Z,Quebec,Trucks,491749
1998-06-01T00:00:00.Z,Quebec,Trucks,472078
1998-07-01T00:00:00.Z,Quebec,Trucks,384774
1998-08-01T00:00:00.Z,Quebec,Trucks,320253
1998-09-01T00:00:00.Z,Quebec,Trucks,396871
1998-10-01T00:00:00.Z,Quebec,Trucks,370426
1998-11-01T00:00:00.Z,Quebec,Trucks,357921
1998-12-01T00:00:00.Z,Quebec,Trucks,364144
1999-01-01T00:00:00.Z,Quebec,Trucks,283008
1999-02-01T00:00:00.Z,Quebec,Trucks,323266
1999-03-01T00:00:00.Z,Quebec,Trucks,530709
1999-04-01T00:00:00.Z,Quebec,Trucks,515700
1999-05-01T00:00:00.Z,Quebec,Trucks,526458
1999-06-01T00:00:00.Z,Quebec,Trucks,505517
1999-07-01T00:00:00.Z,Quebec,Trucks,451393
1999-08-01T00:00:00.Z,Quebec,Trucks,425123
1999-09-01T00:00:00.Z,Quebec,Trucks,463499
1999-10-01T00:00:00.Z,Quebec,Trucks,380315
1999-11-01T00:00:00.Z,Quebec,Trucks,376947
1999-12-01T00:00:00.Z,Quebec,Trucks,427584
2000-01-01T00:00:00.Z,Quebec,Trucks,297121
2000-02-01T00:00:00.Z,Quebec,Trucks,317519
2000-03-01T00:00:00.Z,Quebec,Trucks,516793
2000-04-01T00:00:00.Z,Quebec,Trucks,461327
2000-05-01T00:00:00.Z,Quebec,Trucks,521622
2000-06-01T00:00:00.Z,Quebec,Trucks,513233
2000-07-01T00:00:00.Z,Quebec,Trucks,401281
2000-08-01T00:00:00.Z,Quebec,Trucks,431354
2000-09-01T00:00:00.Z,Quebec,Trucks,464724
2000-10-01T00:00:00.Z,Quebec,Trucks,346483
2000-11-01T00:00:00.Z,Quebec,Trucks,333205
2000-12-01T00:00:00.Z,Quebec,Trucks,268069
2001-01-01T00:00:00.Z,Quebec,Trucks,292462
